"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","3137ONMDKG6Y480XNXVUP3CG6F6EG6","A32Y9JC775LYLV","Submitted","Tue Dec 05 17:42:58 PST 2017","Tue Dec 05 17:57:05 PST 2017","Fri Dec 08 17:57:05 PST 2017","","","","847","100% (1/1)","100% (1/1)","100% (1/1)","5a274b261e21d_8214e9e1e0904"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","317HQ483I7TGU5J56KYG02J5ZJ5INV","A1KAIOBTXQ77A6","Submitted","Tue Dec 05 15:41:35 PST 2017","Tue Dec 05 16:09:09 PST 2017","Fri Dec 08 16:09:09 PST 2017","","","","1654","100% (2/2)","0% (0/0)","0% (0/0)","5a272eb5cb609_4f7a41f7d7655"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","32AT8R96GLAIJ96A8X4GIZHMGD0USR","A2LMNFSF3LG9VS","Submitted","Tue Dec 05 15:39:09 PST 2017","Tue Dec 05 16:14:15 PST 2017","Fri Dec 08 16:14:15 PST 2017","","","","2106","0% (0/0)","0% (0/0)","0% (0/0)","5a272facf2c86_65836a04cbf7c"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","339ANSOTR53FMZY297608A215O0IKQ","A2F2DDH12YU4AK","Submitted","Tue Dec 05 15:38:49 PST 2017","Tue Dec 05 16:33:31 PST 2017","Fri Dec 08 16:33:31 PST 2017","","","","3282","100% (35/35)","0% (0/0)","0% (0/0)","5a2736ae72e43_0232c7f5957f6"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","388U7OUMF72Q28UHV1QR3IOJEME0R7","A1NFBKUYYVUYWF","Submitted","Tue Dec 05 15:39:50 PST 2017","Tue Dec 05 16:20:03 PST 2017","Fri Dec 08 16:20:03 PST 2017","","","","2413","100% (1/1)","0% (0/0)","0% (0/0)","5a272e558b351_bbb164b20e23a"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","38F71OA9GTXQ2WWFTBDVKQHDE13FM1","AFSB8WBSUU2B4","Submitted","Tue Dec 05 15:38:43 PST 2017","Tue Dec 05 16:17:15 PST 2017","Fri Dec 08 16:17:15 PST 2017","","","","2312","100% (1/1)","100% (1/1)","100% (1/1)","5a272e1e6c71c_e900d80b7468c"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","39K0FND3AHGV65F7IVR36P6MHM5AM0","A3PEJ2UC43Y4ZN","Submitted","Tue Dec 05 19:02:37 PST 2017","Tue Dec 05 19:48:14 PST 2017","Fri Dec 08 19:48:14 PST 2017","","","","2737","0% (0/0)","0% (0/0)","0% (0/0)","5a2763ea059f4_261c59836f027"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","3A4NIXBJ760C2O6BFMGTF3MXBXPLMC","A2VF6506WDNXKS","Submitted","Tue Dec 05 15:55:45 PST 2017","Tue Dec 05 16:13:34 PST 2017","Fri Dec 08 16:13:34 PST 2017","","","","1069","100% (1/1)","100% (1/1)","100% (1/1)","5a27323119b98_215be99d38a3a"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","3AMW0RGHOD38BR69JFO09ZKHLX0NPC","A2KMX4HGXSWS7U","Submitted","Tue Dec 05 15:39:04 PST 2017","Tue Dec 05 16:00:53 PST 2017","Fri Dec 08 16:00:53 PST 2017","","","","1309","100% (1/1)","100% (1/1)","100% (1/1)","5a27308a69300_fa69aa879adfe"
"33K3E8REWWWPU9O2924XWWK3832X8I","3OF98WC37E9G99CQ3LE9NLXUD2OSM8","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; earn bonus payment for helping the robot do the required tasks","robot, human-robot interaction, dialog","$1.00","Tue Dec 05 15:38:26 PST 2017","30","BatchId:3037868;OriginalHitTemplateId:920937340;","7200","259200","Fri Dec 08 15:38:26 PST 2017","","","3BF51CHDTVBDDEGEZWEXPEMDRDGH0R","A2H2LO1OOF8R5N","Submitted","Tue Dec 05 15:41:31 PST 2017","Tue Dec 05 15:55:59 PST 2017","Fri Dec 08 15:55:59 PST 2017","","","","868","0% (0/0)","0% (0/0)","0% (0/0)","5a272eb16b247_86f013a93c277"
