"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","30JNVC0OR9L117LDGU8C4KDYI79HQK","A1M9V2YS4P0PJY","Submitted","Fri Dec 21 15:54:04 PST 2018","Fri Dec 21 15:58:13 PST 2018","Mon Dec 24 15:58:13 PST 2018","","","","249","0% (0/0)","0% (0/0)","0% (0/0)","5c1d7d3482ff5_9V2YS4P0PJYA1M_7577cb1033509"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","31LVTDXBL7B3Z4J3KUCA12GAVALLRX","A1JMD1M91WRWGB","Submitted","Fri Dec 21 15:55:27 PST 2018","Fri Dec 21 15:59:05 PST 2018","Mon Dec 24 15:59:05 PST 2018","","","","218","100% (1/1)","0% (0/0)","0% (0/0)","5c1d7d799010f_MD1M91WRWGBA1J_a485927c80747"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","31QNSG6A5RUY2EF5HR50RG34AYV781","A22PGJTI69X7PQ","Submitted","Fri Dec 21 16:00:43 PST 2018","Fri Dec 21 16:15:01 PST 2018","Mon Dec 24 16:15:01 PST 2018","","","","858","100% (1/1)","100% (1/1)","0% (0/0)","5c1d7eb55ad30_PGJTI69X7PQA22_ab15af66c76dc"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","31T4R4OBOSH0EH5IY3L5T2ZN0PSC7O","A1U1PWOUK690TU","Submitted","Fri Dec 21 16:28:24 PST 2018","Fri Dec 21 17:04:52 PST 2018","Mon Dec 24 17:04:52 PST 2018","","","","2188","0% (0/0)","0% (0/0)","0% (0/0)","5c1d8b2e424b6_1PWOUK690TUA1U_2c4658a1ce782"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","31Z0PCVWUKGH0Y7TKPGVICZROBCT78","A3AY0315YWWNXY","Submitted","Fri Dec 21 17:53:45 PST 2018","Fri Dec 21 19:23:40 PST 2018","Mon Dec 24 19:23:40 PST 2018","","","","5395","100% (2/2)","0% (0/0)","0% (0/0)","5c1dad31a8b5d_Y0315YWWNXYA3A_76d17678817b2"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","32SCWG5HIH50460HKY2J7OYY4X9P62","A1RO1AL8ADJNVL","Submitted","Fri Dec 21 15:57:49 PST 2018","Fri Dec 21 16:09:37 PST 2018","Mon Dec 24 16:09:37 PST 2018","","","","708","0% (0/0)","0% (0/0)","0% (0/0)","5c1d7e8609718_O1AL8ADJNVLA1R_75632c7283465"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","32SVAV9L3FAUKJ7XCDMOAQXJVK8A32","A2HYCUPBWBQME","Submitted","Fri Dec 21 15:58:28 PST 2018","Fri Dec 21 16:04:20 PST 2018","Mon Dec 24 16:04:20 PST 2018","","","","352","0% (0/0)","0% (0/0)","0% (0/0)","5c1d7e1479e58_YCUPBWBQMEA2H_5e56fa759bd17"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","32VNZTT0A7571WCIE2DTFLEZ9O0R4K","A49HPQ9P5AHU4","Submitted","Fri Dec 21 16:16:22 PST 2018","Fri Dec 21 16:23:00 PST 2018","Mon Dec 24 16:23:00 PST 2018","","","","398","100% (1/1)","0% (0/0)","0% (0/0)","5c1d828754fa6_HPQ9P5AHU4A49_b732278a2f96e"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","337RC3OW053VSB0KTEHK2Z5DGGYLVQ","AWEUAV2UW15NK","Submitted","Fri Dec 21 15:55:31 PST 2018","Fri Dec 21 16:05:27 PST 2018","Mon Dec 24 16:05:27 PST 2018","","","","596","0% (0/0)","0% (0/0)","0% (0/0)","5c1d7d8722ff6_UAV2UW15NKAWE_63eed3067e006"
"34HEO7RUG6VJG1V5X1IJ354AOD5ARO","379YH0H8TKTG8GB9IA43VNT3S84ZSY","Command a robot to accomplish tasks","Type commands to a robot and answer its questions to help it learn; this HIT usually takes between 15 and 40 minutes with an average of 25 minutes.","robot, human-robot interaction, dialog","$0.75","Fri Dec 21 15:53:15 PST 2018","50","BatchId:3482417;OriginalHitTemplateId:920937340;","7200","259200","Mon Dec 24 15:53:15 PST 2018","","","34J10VATJFZ1X2WXMCQX4WEDIKQQIO","A3C7COPV48I37D","Submitted","Fri Dec 21 15:58:21 PST 2018","Fri Dec 21 16:15:50 PST 2018","Mon Dec 24 16:15:50 PST 2018","","","","1049","100% (1/1)","100% (1/1)","0% (0/0)","5c1d7fd937ce5_7COPV48I37DA3C_41ee7b6c1cca0"
